curie	label	ontology	obsolete	iri	status
EFO:0000195	metabolic syndrome	efo	false	http://www.ebi.ac.uk/efo/EFO_0000195	ok
EFO:0000544	infection	efo	false	http://www.ebi.ac.uk/efo/EFO_0000544	ok
EFO:0000551	intracranial hemorrhage	efo	false	http://www.ebi.ac.uk/efo/EFO_0000551	ok
EFO:0000556	ischemia	efo	false	http://www.ebi.ac.uk/efo/EFO_0000556	ok
EFO:0000719	temporal measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0000719	ok
EFO:0001063	deafness	efo	false	http://www.ebi.ac.uk/efo/EFO_0001063	ok
EFO:0002503	cardiac hypertrophy	efo	false	http://www.ebi.ac.uk/efo/EFO_0002503	ok
EFO:0002616	macroglobulinemia	efo	false	http://www.ebi.ac.uk/efo/EFO_0002616	ok
EFO:0003762	vitamin D deficiency	efo	false	http://www.ebi.ac.uk/efo/EFO_0003762	ok
EFO:0003959	cleft lip	efo	false	http://www.ebi.ac.uk/efo/EFO_0003959	ok
EFO:0004138	bundle branch block	efo	false	http://www.ebi.ac.uk/efo/EFO_0004138	ok
EFO:0004305	erythrocyte count	efo	false	http://www.ebi.ac.uk/efo/EFO_0004305	ok
EFO:0004309	platelet count	efo	false	http://www.ebi.ac.uk/efo/EFO_0004309	ok
EFO:0004312	vital capacity	efo	false	http://www.ebi.ac.uk/efo/EFO_0004312	ok
EFO:0004335	short-term memory	efo	false	http://www.ebi.ac.uk/efo/EFO_0004335	ok
EFO:0004340	body mass index	efo	false	http://www.ebi.ac.uk/efo/EFO_0004340	ok
EFO:0004346	neuroimaging measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004346	ok
EFO:0004348	hematocrit	efo	false	http://www.ebi.ac.uk/efo/EFO_0004348	ok
EFO:0004462	PR interval	efo	false	http://www.ebi.ac.uk/efo/EFO_0004462	ok
EFO:0004468	glucose measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004468	ok
EFO:0004509	hemoglobin measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004509	ok
EFO:0004517	arterial stiffness measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004517	ok
EFO:0004527	mean corpuscular hemoglobin	efo	false	http://www.ebi.ac.uk/efo/EFO_0004527	ok
EFO:0004528	mean corpuscular hemoglobin concentration	efo	false	http://www.ebi.ac.uk/efo/EFO_0004528	ok
EFO:0004530	triglyceride measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004530	ok
EFO:0004533	alkaline phosphatase measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004533	ok
EFO:0004541	HbA1c measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004541	ok
EFO:0004587	lymphocyte count	efo	false	http://www.ebi.ac.uk/efo/EFO_0004587	ok
EFO:0004612	high density lipoprotein cholesterol measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0004612	ok
