gene_symbol,drug_name,interaction_type,ensembl_id
CLU,CUSTIRSEN,antisense oligonucleotide,ENSG00000120885
FGFR1,LUCITANIB,,ENSG00000077782
FAS,FUDR,,ENSG00000026103
FGFR1,PAZOPANIB HYDROCHLORIDE,inhibitor,ENSG00000077782
ALK,Ficonalkib,,ENSG00000171094
FGFR1,ENTRECTINIB,,ENSG00000077782
ALK,Dinaciclib,,ENSG00000171094
TUBB4B,MILATAXEL,inhibitor,ENSG00000188229
PPARA,TETRADECYLTHIOACETIC ACID,,ENSG00000186951
NR3C1,DESOXIMETASONE,agonist,ENSG00000113580
NQO1,NSC-640556,,ENSG00000181019
NR3C1,PREDNICARBATE,agonist,ENSG00000113580
MITF,GNF-PF-2298,,ENSG00000187098
PPARA,T091317,,ENSG00000186951
CD86,DEXAMETHASONE,,ENSG00000114013
KCNA3,AMIFAMPRIDINE,blocker,ENSG00000177272
ALDH1A1,LEAD DIACETATE TRIHYDRATE,,ENSG00000165092
L3MBTL1,NSC-66209,,ENSG00000185513
KCNQ2,GUANIDINE HYDROCHLORIDE,blocker,ENSG00000075043
ALK,Zoledronic acid,,ENSG00000171094
ALDH1A1,CONGO RED,,ENSG00000165092
UGT1A7,mycophenolate mofetil,,ENSG00000244122
TUBB4B,ZAMPANOLIDE,,ENSG00000188229
PPARA,SODELGLITAZAR,agonist,ENSG00000186951
UGT1A7,risperidone,,ENSG00000244122
PSMC3,CARFILZOMIB,,ENSG00000165916
PDE6G,DIPYRIDAMOLE,inhibitor,ENSG00000185527
ALDH1A1,DNDI1417080,,ENSG00000165092
TUBA3E,POLATUZUMAB VEDOTIN,inhibitor,ENSG00000152086
ALDH1A1,APIGENIN,,ENSG00000165092
MITF,8-FLUOROTRYPTANTHRIN,,ENSG00000187098
NR3C1,FOSDAGROCORAT,modulator,ENSG00000113580
PPARA,ZYH7,agonist,ENSG00000186951
ALK,Trametinib,,ENSG00000171094
PPARA,metformin,,ENSG00000186951
FKBP5,gemcitabine,,ENSG00000096060
XIAP,DIFFERENTIATING AGENTS,,ENSG00000101966
TUBB2A,IXABEPILONE,inhibitor,ENSG00000137267
NR3C1,MEPREDNISONE,agonist,ENSG00000113580
FGFR1,Lorlatinib,,ENSG00000077782
RET,unspecified immune checkpoint inhibitor,,ENSG00000165731
ALK,ENTRECTINIB,inhibitor,ENSG00000171094
PRKAG1,ACADESINE,activator,ENSG00000181929
FGFR1,3D185,,ENSG00000077782
MEN1,CID2350207,,ENSG00000133895
ALDH1A1,2-PHENYLPHENOL,,ENSG00000165092
GADD45A,GENISTEIN,,ENSG00000116717
ALDH1A1,CARMINE,,ENSG00000165092
ALDH1A1,CHLORANIL,,ENSG00000165092
NR3C1,DEXAMETHASONE ACETATE,agonist,ENSG00000113580
FGFR1,Derazantinib,,ENSG00000077782
ALK,Ixazomib,,ENSG00000171094
TUBB2A,BIVATUZUMAB MERTANSINE,inhibitor,ENSG00000137267
ALDH1A1,CID 1540545,,ENSG00000165092
KCND3,NERISPIRDINE,blocker,ENSG00000171385
