subject,predicate,object,subject_category,object_category,knowledge_source,source_relationship
DRUG_NAME:LUCITANIB,biolink:interacts_with,NCBIGene:2260,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:FUDR,biolink:interacts_with,NCBIGene:355,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PAZOPANIB HYDROCHLORIDE,biolink:negatively_regulates,NCBIGene:2260,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:Ficonalkib,biolink:interacts_with,NCBIGene:238,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ENTRECTINIB,biolink:interacts_with,NCBIGene:2260,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:Dinaciclib,biolink:interacts_with,NCBIGene:238,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:MILATAXEL,biolink:negatively_regulates,NCBIGene:10383,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:TETRADECYLTHIOACETIC ACID,biolink:interacts_with,NCBIGene:5465,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DESOXIMETASONE,biolink:positively_regulates,NCBIGene:2908,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:NSC-640556,biolink:interacts_with,NCBIGene:1728,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PREDNICARBATE,biolink:positively_regulates,NCBIGene:2908,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:GNF-PF-2298,biolink:interacts_with,NCBIGene:4286,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:T091317,biolink:interacts_with,NCBIGene:5465,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DEXAMETHASONE,biolink:interacts_with,NCBIGene:942,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:AMIFAMPRIDINE,biolink:negatively_regulates,NCBIGene:3738,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:LEAD DIACETATE TRIHYDRATE,biolink:interacts_with,NCBIGene:216,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NSC-66209,biolink:interacts_with,NCBIGene:26013,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:GUANIDINE HYDROCHLORIDE,biolink:negatively_regulates,NCBIGene:3785,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
