id,primary_symbol,synonym
NCBIGene:1191,CLU,APOJ
NCBIGene:1191,CLU,CLI
NCBIGene:1191,CLU,CLU1
NCBIGene:1191,CLU,CLU2
NCBIGene:1191,CLU,KUB1
NCBIGene:1191,CLU,SGP-2
NCBIGene:1191,CLU,SP-40
NCBIGene:1191,CLU,TRPM-2
NCBIGene:2260,FGFR1,BFGFR
NCBIGene:2260,FGFR1,CD331
NCBIGene:2260,FGFR1,CEK
NCBIGene:2260,FGFR1,FLG
NCBIGene:2260,FGFR1,FLT2
NCBIGene:2260,FGFR1,H2
NCBIGene:2260,FGFR1,H3
NCBIGene:2260,FGFR1,H4
NCBIGene:2260,FGFR1,H5
NCBIGene:2260,FGFR1,KAL2
NCBIGene:2260,FGFR1,N-SAM
NCBIGene:355,FAS,APO-1
NCBIGene:355,FAS,APT1
NCBIGene:355,FAS,CD95
NCBIGene:355,FAS,FAS1
NCBIGene:355,FAS,TNFRSF6
NCBIGene:238,ALK,ALK1
NCBIGene:238,ALK,CD246
NCBIGene:10383,TUBB4B,BETA2
NCBIGene:10383,TUBB4B,TUBB2C
NCBIGene:5465,PPARA,HPPAR
NCBIGene:5465,PPARA,NR1C1
NCBIGene:5465,PPARA,PPAR
NCBIGene:2908,NR3C1,GR
NCBIGene:2908,NR3C1,GRL
NCBIGene:1728,NQO1,DHQU
NCBIGene:1728,NQO1,DIA4
NCBIGene:1728,NQO1,DTD
NCBIGene:1728,NQO1,NMOR1
NCBIGene:1728,NQO1,QR1
NCBIGene:4286,MITF,BHLHE32
NCBIGene:4286,MITF,MI
NCBIGene:4286,MITF,WS2
NCBIGene:4286,MITF,WS2A
NCBIGene:942,CD86,B7-2
NCBIGene:942,CD86,B7.2
NCBIGene:942,CD86,CD28LG2
NCBIGene:3738,KCNA3,HLK3
NCBIGene:3738,KCNA3,HPCN3
NCBIGene:3738,KCNA3,KV1.3
NCBIGene:3738,KCNA3,MK3
NCBIGene:3738,KCNA3,RP11-284N8.3
NCBIGene:216,ALDH1A1,ALDH1
NCBIGene:216,ALDH1A1,PUMB1
NCBIGene:216,ALDH1A1,RALDH1
NCBIGene:26013,L3MBTL1,DJ138B7.3
NCBIGene:26013,L3MBTL1,DKFZP586P1522
NCBIGene:26013,L3MBTL1,KIAA0681
NCBIGene:26013,L3MBTL1,L3MBTL
NCBIGene:26013,L3MBTL1,ZC2HC3
NCBIGene:3785,KCNQ2,BFNC
NCBIGene:3785,KCNQ2,EBN
NCBIGene:3785,KCNQ2,EBN1
NCBIGene:3785,KCNQ2,ENB1
NCBIGene:3785,KCNQ2,HNSPC
NCBIGene:3785,KCNQ2,KCNA11
NCBIGene:3785,KCNQ2,KV7.2
NCBIGene:54577,UGT1A7,UGT1G
NCBIGene:5702,PSMC3,RPT5
NCBIGene:5702,PSMC3,TBP-1
NCBIGene:5702,PSMC3,TBP1
NCBIGene:5148,PDE6G,PDEG
NCBIGene:5148,PDE6G,RP57
NCBIGene:2289,FKBP5,FKBP51
NCBIGene:2289,FKBP5,FKBP54
NCBIGene:2289,FKBP5,P54
NCBIGene:2289,FKBP5,PPIASE
NCBIGene:2289,FKBP5,PTG-10
NCBIGene:331,XIAP,API3
NCBIGene:331,XIAP,BIRC4
NCBIGene:331,XIAP,HILP
NCBIGene:331,XIAP,ILP-1
NCBIGene:7280,TUBB2A,DJ40E16.7
NCBIGene:7280,TUBB2A,TUBB
NCBIGene:7280,TUBB2A,TUBB2
NCBIGene:5979,RET,CDHF12
NCBIGene:5979,RET,CDHR16
NCBIGene:5979,RET,HSCR1
NCBIGene:5979,RET,MEN2A
NCBIGene:5979,RET,MEN2B
NCBIGene:5979,RET,MTC1
NCBIGene:5979,RET,PTC
NCBIGene:5979,RET,RET51
NCBIGene:1647,GADD45A,DDIT1
NCBIGene:1647,GADD45A,GADD45
NCBIGene:3752,KCND3,KSHIVB
NCBIGene:3752,KCND3,KV4.3
NCBIGene:3752,KCND3,SCA19
NCBIGene:3752,KCND3,SCA22
NCBIGene:6361,CCL17,ABCD-2
NCBIGene:6361,CCL17,SCYA17
NCBIGene:6361,CCL17,TARC
NCBIGene:4025,LPO,SPO
NCBIGene:356,FASLG,APT1LG1
NCBIGene:356,FASLG,CD178
NCBIGene:356,FASLG,FASL
NCBIGene:356,FASLG,TNFSF6
NCBIGene:3784,KCNQ1,JLNS1
NCBIGene:3784,KCNQ1,KCNA8
NCBIGene:3784,KCNQ1,KCNA9
NCBIGene:3784,KCNQ1,KV7.1
NCBIGene:3784,KCNQ1,KVLQT1
NCBIGene:3784,KCNQ1,LQT
NCBIGene:3784,KCNQ1,LQT1
NCBIGene:292,SLC25A5,2F1
NCBIGene:292,SLC25A5,ANT2
NCBIGene:292,SLC25A5,T2
NCBIGene:292,SLC25A5,T3
NCBIGene:1394,CRHR1,CRF-R
NCBIGene:1394,CRHR1,CRF1
NCBIGene:1394,CRHR1,CRHR
NCBIGene:4311,MME,CALLA
NCBIGene:4311,MME,CD10
NCBIGene:4311,MME,NEP
NCBIGene:2905,GRIN2C,GLUN2C
NCBIGene:2905,GRIN2C,NMDAR2C
NCBIGene:2905,GRIN2C,NR2C
NCBIGene:84727,SPSB2,GRCC9
NCBIGene:84727,SPSB2,SSB-2
NCBIGene:3082,HGF,DFNB39
NCBIGene:3082,HGF,F-TCF
NCBIGene:3082,HGF,HGFB
NCBIGene:3082,HGF,HPTA
NCBIGene:3082,HGF,SF
NCBIGene:3605,IL17A,CTLA8
NCBIGene:3605,IL17A,IL-17
NCBIGene:3605,IL17A,IL-17A
NCBIGene:3605,IL17A,IL17
NCBIGene:6416,MAP2K4,JNKK
NCBIGene:6416,MAP2K4,JNKK1
NCBIGene:6416,MAP2K4,MAPKK4
NCBIGene:6416,MAP2K4,MEK4
NCBIGene:6416,MAP2K4,MKK4
NCBIGene:6416,MAP2K4,PRKMK4
NCBIGene:6416,MAP2K4,SAPKK1
NCBIGene:6416,MAP2K4,SEK1
NCBIGene:6416,MAP2K4,SERK1
NCBIGene:6416,MAP2K4,SKK1
NCBIGene:51135,IRAK4,NY-REN-64
NCBIGene:6794,STK11,LKB1
NCBIGene:6794,STK11,PJS
NCBIGene:2194,FASN,FAS
NCBIGene:2194,FASN,SDR27X1
NCBIGene:55294,FBXW7,AGO
NCBIGene:55294,FBXW7,CDC4
NCBIGene:55294,FBXW7,FBW7
NCBIGene:55294,FBXW7,FBX30
NCBIGene:55294,FBXW7,FBXW6
NCBIGene:55294,FBXW7,FLJ11071
NCBIGene:55294,FBXW7,SEL-10
NCBIGene:55294,FBXW7,SEL10
NCBIGene:1809,DPYSL3,CRMP4
NCBIGene:1809,DPYSL3,DRP-3
NCBIGene:1809,DPYSL3,ULIP
NCBIGene:57650,CIP2A,KIAA1524
NCBIGene:51755,CDK12,CRK7
NCBIGene:51755,CDK12,CRKR
NCBIGene:51755,CDK12,CRKRS
NCBIGene:51755,CDK12,KIAA0904
NCBIGene:480,ATP1A4,ATP1AL2
NCBIGene:1286,COL4A4,CA44
NCBIGene:3171,FOXA3,HNF3G
NCBIGene:4717,NDUFC1,KFYI
NCBIGene:7412,VCAM1,CD106
NCBIGene:3953,LEPR,CD295
NCBIGene:3953,LEPR,LEP-R
NCBIGene:3953,LEPR,OB-R
NCBIGene:3953,LEPR,OBR
NCBIGene:55556,ENOSF1,FUCD
NCBIGene:55556,ENOSF1,HSRTSBETA
NCBIGene:55556,ENOSF1,RTS
NCBIGene:55556,ENOSF1,TYMSAS
