mondo_id,previous_name,mondo_label,matched
MONDO:0000358,MONDO:0000358,orofacial cleft,True
MONDO:0010121,MONDO:0010121,thrombocytopenia-absent radius syndrome,True
MONDO:0002108,MONDO:0002108,thyroid cancer,True
MONDO:0008523,MONDO:0008523,Blau syndrome,True
MONDO:0010891,MONDO:0010891,lethal hemolytic anemia-genital anomalies syndrome,True
MONDO:0020310,MONDO:0020310,familial focal epilepsy with variable foci,True
MONDO:0004483,MONDO:0004483,thyroid gland oncocytic adenoma,True
MONDO:0014248,MONDO:0014248,autism spectrum disorder - epilepsy - arthrogryposis syndrome,True
MONDO:0011142,MONDO:0011142,"Ehlers-Danlos syndrome, musculocontractural type",True
MONDO:0008170,MONDO:0008170,ovarian cancer,True
MONDO:0004992,MONDO:0004992,cancer,True
MONDO:0021201,MONDO:0021201,skin infection,True
MONDO:0010356,MONDO:0010356,nephrogenic syndrome of inappropriate antidiuresis,True
MONDO:0008280,MONDO:0008280,Peutz-Jeghers syndrome,True
MONDO:0005271,MONDO:0005271,allergic disease,True
MONDO:0021681,MONDO:0021681,sexually transmitted disease,True
MONDO:0010720,MONDO:0010720,partial androgen insensitivity syndrome,True
MONDO:0004986,MONDO:0004986,urinary bladder carcinoma,True
MONDO:0019306,MONDO:0019306,congenital non-bullous ichthyosiform erythroderma,True
MONDO:0011382,MONDO:0011382,sickle cell disease,True
MONDO:0044721,MONDO:0044721,severe combined immunodeficiency due to LAT deficiency,True
MONDO:0008315,MONDO:0008315,prostate cancer,True
MONDO:0024477,MONDO:0024477,liver and intrahepatic bile duct neoplasm,True
MONDO:0001085,MONDO:0001085,interstitial nephritis,True
MONDO:0009724,MONDO:0009724,nail-patella-like renal disease,True
MONDO:0010015,MONDO:0010015,anterior segment dysgenesis 7,True
MONDO:0009061,MONDO:0009061,cystic fibrosis,True
MONDO:0016064,MONDO:0016064,cleft palate,True
MONDO:0957594,MONDO:0957594,spermatogenic failure 87,True
MONDO:0021156,MONDO:0021156,hypophysitis,True
MONDO:0013588,MONDO:0013588,Perrault syndrome 3,True
MONDO:0017795,MONDO:0017795,ameloblastoma,True
MONDO:0010383,MONDO:0010383,fragile X syndrome,True
MONDO:0032845,MONDO:0032845,spermatogenic failure 39,True
MONDO:0008006,MONDO:0008006,Mobius syndrome,True
MONDO:0700044,MONDO:0700044,,False
MONDO:0004286,MONDO:0004286,pancreatic intraductal papillary-mucinous neoplasm,True
MONDO:0016780,MONDO:0016780,paternal 14q32.2 microdeletion syndrome,True
MONDO:0021148,MONDO:0021148,female reproductive system neoplasm,True
MONDO:0002334,MONDO:0002334,hematopoietic and lymphoid system neoplasm,True
MONDO:0013934,MONDO:0013934,combined immunodeficiency due to STK4 deficiency,True
MONDO:0002974,MONDO:0002974,cervical cancer,True
MONDO:0009216,MONDO:0009216,glycogen storage disease due to GLUT2 deficiency,True
MONDO:0007254,MONDO:0007254,breast cancer,True
MONDO:0023161,MONDO:0023161,viral myocarditis,True
MONDO:0004643,MONDO:0004643,myeloid leukemia,True
MONDO:0018630,MONDO:0018630,hereditary nonpolyposis colon cancer,True
MONDO:0008733,MONDO:0008733,familial glucocorticoid deficiency,True
MONDO:0002691,MONDO:0002691,liver cancer,True
MONDO:0002207,MONDO:0002207,vulval Paget disease,True
MONDO:0005041,MONDO:0005041,glaucoma,True
MONDO:0007496,MONDO:0007496,dystonia 12,True
MONDO:0007809,MONDO:0007809,"ichthyosis histrix, Lambert type",True
MONDO:0021251,MONDO:0021251,endometrium neoplasm,True
MONDO:0018875,MONDO:0018875,Li-Fraumeni syndrome,True
MONDO:0003783,MONDO:0003783,lymphopenia,True
MONDO:0014048,MONDO:0014048,Cowden syndrome 6,True
MONDO:0016642,MONDO:0016642,meningioma,True
MONDO:0005575,MONDO:0005575,colorectal cancer,True
MONDO:0015674,MONDO:0015674,late infantile neuronal ceroid lipofuscinosis,True
MONDO:0015459,MONDO:0015459,nasopharyngeal carcinoma,True
MONDO:0009629,MONDO:0009629,Desbuquois dysplasia 1,True
MONDO:0008921,MONDO:0008921,carnosinemia,True
MONDO:0018899,MONDO:0018899,posterior cortical atrophy,True
MONDO:0012725,MONDO:0012725,lipoprotein glomerulopathy,True
MONDO:0007152,MONDO:0007152,arrhythmogenic right ventricular dysplasia 1,True
MONDO:0002257,MONDO:0002257,ankylosis,True
MONDO:0016700,MONDO:0016700,anaplastic ependymoma,True
MONDO:0010788,MONDO:0010788,Leber hereditary optic neuropathy,True
MONDO:0033262,MONDO:0033262,nephrotic syndrome 15,True
MONDO:0020761,MONDO:0020761,Bowen disease of the skin,True
MONDO:0045063,MONDO:0045063,major salivary gland adenoid cystic carcinoma,True
MONDO:0008411,MONDO:0008411,ulnar-mammary syndrome,True
MONDO:0042491,MONDO:0042491,cervical squamous intraepithelial neoplasia,True
MONDO:0012675,MONDO:0012675,corticosteroid-binding globulin deficiency,True
MONDO:0004892,MONDO:0004892,refractive error,True
MONDO:0016761,MONDO:0016761,spondyloepiphyseal dysplasia,True
MONDO:0014810,MONDO:0014810,pancytopenia due to IKZF1 mutations,True
MONDO:0003036,MONDO:0003036,mucoepidermoid carcinoma,True
MONDO:0002898,MONDO:0002898,skin cancer,True
MONDO:0018177,MONDO:0018177,glioblastoma,True
MONDO:0008233,MONDO:0008233,pheochromocytoma,True
MONDO:0009830,MONDO:0009830,parkinsonian-pyramidal syndrome,True
