source_id,mondo_id,prefix,normalized,status
MONDO:0000358,MONDO:0000358,MONDO,False,already_mondo
EFO:0006890,,EFO,False,unmapped
EFO:0004705,MONDO:0005420,EFO,True,mapped
EFO:0004212,MONDO:0005348,EFO,True,mapped
Orphanet:52901,MONDO:0009239,Orphanet,True,mapped
EFO:1001461,,EFO,False,unmapped
EFO:0000564,MONDO:0005058,EFO,True,mapped
MONDO:0010121,MONDO:0010121,MONDO,False,already_mondo
MONDO:0002108,MONDO:0002108,MONDO,False,already_mondo
EFO:0001376,MONDO:0010434,EFO,True,mapped
EFO:0008528,MONDO:0040679,EFO,True,mapped
MONDO:0008523,MONDO:0008523,MONDO,False,already_mondo
MONDO:0010891,MONDO:0010891,MONDO,False,already_mondo
MONDO:0020310,MONDO:0020310,MONDO,False,already_mondo
EFO:0021901,,EFO,False,unmapped
EFO:0005140,,EFO,False,unmapped
GO:0009410,,GO,False,skipped_prefix
EFO:0009709,MONDO:0024883,EFO,True,mapped
MONDO:0004483,MONDO:0004483,MONDO,False,already_mondo
EFO:0003818,MONDO:0005275,EFO,True,mapped
EFO:0022148,,EFO,False,unmapped
EFO:0000771,MONDO:0005113,EFO,True,mapped
EFO:0006335,,EFO,False,unmapped
EFO:0000537,MONDO:0005044,EFO,True,mapped
MONDO:0014248,MONDO:0014248,MONDO,False,already_mondo
EFO:0003767,MONDO:0005265,EFO,True,mapped
EFO:0000400,MONDO:0005015,EFO,True,mapped
MONDO:0011142,MONDO:0011142,MONDO,False,already_mondo
MONDO:0008170,MONDO:0008170,MONDO,False,already_mondo
HP:0040187,,HP,False,skipped_prefix
EFO:1002000,MONDO:0019018,EFO,True,mapped
MONDO:0004992,MONDO:0004992,MONDO,False,already_mondo
MONDO:0021201,MONDO:0021201,MONDO,False,already_mondo
OBA:1000840,,OBA,False,skipped_prefix
EFO:0003756,MONDO:0005258,EFO,True,mapped
MONDO:0010356,MONDO:0010356,MONDO,False,already_mondo
MONDO:0008280,MONDO:0008280,MONDO,False,already_mondo
HP:0001270,,HP,False,skipped_prefix
MONDO:0005271,MONDO:0005271,MONDO,False,already_mondo
MONDO:0021681,MONDO:0021681,MONDO,False,already_mondo
EFO:0004194,MONDO:0005342,EFO,True,mapped
EFO:0004142,MONDO:0005335,EFO,True,mapped
EFO:0000401,MONDO:0005016,EFO,True,mapped
EFO:0000335,MONDO:0017885,EFO,True,mapped
HP:0002015,,HP,False,skipped_prefix
MONDO:0010720,MONDO:0010720,MONDO,False,already_mondo
EFO:1001248,,EFO,False,unmapped
MONDO:0004986,MONDO:0004986,MONDO,False,already_mondo
EFO:0003918,MONDO:0007147,EFO,True,mapped
MONDO:0019306,MONDO:0019306,MONDO,False,already_mondo
EFO:0004243,MONDO:0005369,EFO,True,mapped
EFO:0007485,MONDO:0005960,EFO,True,mapped
MONDO:0011382,MONDO:0011382,MONDO,False,already_mondo
MONDO:0044721,MONDO:0044721,MONDO,False,already_mondo
EFO:0009765,,EFO,False,unmapped
Orphanet:1473,MONDO:0007355,Orphanet,True,mapped
EFO:0001422,MONDO:0005155,EFO,True,mapped
MONDO:0008315,MONDO:0008315,MONDO,False,already_mondo
Orphanet:602,MONDO:0011603,Orphanet,True,mapped
OBA:0003277,,OBA,False,skipped_prefix
MONDO:0024477,MONDO:0024477,MONDO,False,already_mondo
EFO:1001968,MONDO:0018078,EFO,True,mapped
EFO:1000018,MONDO:0006026,EFO,True,mapped
EFO:0004211,MONDO:0005347,EFO,True,mapped
EFO:0007330,MONDO:0005814,EFO,True,mapped
EFO:0004995,,EFO,False,unmapped
MONDO:0001085,MONDO:0001085,MONDO,False,already_mondo
EFO:0004530,,EFO,False,unmapped
EFO:0000504,MONDO:0005037,EFO,True,mapped
MONDO:0009724,MONDO:0009724,MONDO,False,already_mondo
EFO:0020865,,EFO,False,unmapped
MONDO:0010015,MONDO:0010015,MONDO,False,already_mondo
HP:0001873,,HP,False,skipped_prefix
MONDO:0009061,MONDO:0009061,MONDO,False,already_mondo
MONDO:0016064,MONDO:0016064,MONDO,False,already_mondo
MONDO:0957594,MONDO:0957594,MONDO,False,already_mondo
EFO:0003914,MONDO:0005311,EFO,True,mapped
EFO:0009085,,EFO,False,unmapped
MONDO:0021156,MONDO:0021156,MONDO,False,already_mondo
MONDO:0013588,MONDO:0013588,MONDO,False,already_mondo
MONDO:0017795,MONDO:0017795,MONDO,False,already_mondo
EFO:0000571,MONDO:0005061,EFO,True,mapped
EFO:0022237,,EFO,False,unmapped
EFO:0008572,,EFO,False,unmapped
MONDO:0010383,MONDO:0010383,MONDO,False,already_mondo
EFO:0000717,MONDO:0005100,EFO,True,mapped
OBA:2040561,,OBA,False,skipped_prefix
MONDO:0032845,MONDO:0032845,MONDO,False,already_mondo
EFO:0010134,,EFO,False,unmapped
EFO:0009130,,EFO,False,unmapped
EFO:1000821,MONDO:0006660,EFO,True,mapped
MONDO:0008006,MONDO:0008006,MONDO,False,already_mondo
EFO:1001050,MONDO:0007803,EFO,True,mapped
OBA:2042538,,OBA,False,skipped_prefix
EFO:0000365,MONDO:0005008,EFO,True,mapped
EFO:0006738,MONDO:0005615,EFO,True,mapped
EFO:0002430,MONDO:0009692,EFO,True,mapped
EFO:1001928,MONDO:0018510,EFO,True,mapped
EFO:0022317,,EFO,False,unmapped
EFO:0000232,MONDO:0004972,EFO,True,mapped
EFO:0003032,MONDO:0020325,EFO,True,mapped
EFO:0005701,MONDO:0002728,EFO,True,mapped
MONDO:0700044,MONDO:0700044,MONDO,False,already_mondo
EFO:1001051,MONDO:0009691,EFO,True,mapped
EFO:1001901,MONDO:0019496,EFO,True,mapped
