id,prefix,previous_name,label,label_source,label_ontology,obsolete_term,matched,current_category,suggested_category
MONDO:0000358,MONDO,MONDO:0000358,orofacial cleft,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005420,MONDO,EFO:0004705,hypothyroidism,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005348,MONDO,EFO:0004212,keloid,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009239,MONDO,Orphanet:52901,hypogonadotropic hypogonadism 24 without anosmia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005058,MONDO,EFO:0000564,leiomyosarcoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010121,MONDO,MONDO:0010121,thrombocytopenia-absent radius syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0002108,MONDO,MONDO:0002108,thyroid cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010434,MONDO,EFO:0001376,synovial sarcoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0040679,MONDO,EFO:0008528,urothelial carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008523,MONDO,MONDO:0008523,Blau syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010891,MONDO,MONDO:0010891,lethal hemolytic anemia-genital anomalies syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0020310,MONDO,MONDO:0020310,familial focal epilepsy with variable foci,mondo_release,mondo,,True,biolink:Disease,
MONDO:0024883,MONDO,EFO:0009709,metastatic neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004483,MONDO,MONDO:0004483,thyroid gland oncocytic adenoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005275,MONDO,EFO:0003818,lung disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005113,MONDO,EFO:0000771,bacterial infectious disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005044,MONDO,EFO:0000537,hypertensive disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0014248,MONDO,MONDO:0014248,autism spectrum disorder - epilepsy - arthrogryposis syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005265,MONDO,EFO:0003767,inflammatory bowel disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005015,MONDO,EFO:0000400,diabetes mellitus,mondo_release,mondo,,True,biolink:Disease,
MONDO:0011142,MONDO,MONDO:0011142,"Ehlers-Danlos syndrome, musculocontractural type",mondo_release,mondo,,True,biolink:Disease,
MONDO:0008170,MONDO,MONDO:0008170,ovarian cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0019018,MONDO,EFO:1002000,Tako-tsubo cardiomyopathy,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004992,MONDO,MONDO:0004992,cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0021201,MONDO,MONDO:0021201,skin infection,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005258,MONDO,EFO:0003756,autism spectrum disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010356,MONDO,MONDO:0010356,nephrogenic syndrome of inappropriate antidiuresis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008280,MONDO,MONDO:0008280,Peutz-Jeghers syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005271,MONDO,MONDO:0005271,allergic disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0021681,MONDO,MONDO:0021681,sexually transmitted disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005342,MONDO,EFO:0004194,IgA glomerulonephritis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005335,MONDO,EFO:0004142,colorectal neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005016,MONDO,EFO:0000401,diabetic kidney disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0017885,MONDO,EFO:0000335,chromophobe renal cell carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010720,MONDO,MONDO:0010720,partial androgen insensitivity syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004986,MONDO,MONDO:0004986,urinary bladder carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007147,MONDO,EFO:0003918,obstructive sleep apnea syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0019306,MONDO,MONDO:0019306,congenital non-bullous ichthyosiform erythroderma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005369,MONDO,EFO:0004243,carcinoid tumor,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005960,MONDO,EFO:0007485,silicosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0011382,MONDO,MONDO:0011382,sickle cell disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0044721,MONDO,MONDO:0044721,severe combined immunodeficiency due to LAT deficiency,mondo_release,mondo,,True,biolink:Disease,
