id,category,name
NCBIGene:1191,biolink:Gene,CLU
NCBIGene:2260,biolink:Gene,FGFR1
DRUG_NAME:LUCITANIB,biolink:ChemicalEntity,LUCITANIB
NCBIGene:355,biolink:Gene,FAS
DRUG_NAME:FUDR,biolink:ChemicalEntity,FUDR
DRUG_NAME:PAZOPANIB HYDROCHLORIDE,biolink:ChemicalEntity,PAZOPANIB HYDROCHLORIDE
NCBIGene:238,biolink:Gene,ALK
DRUG_NAME:Ficonalkib,biolink:ChemicalEntity,Ficonalkib
DRUG_NAME:ENTRECTINIB,biolink:ChemicalEntity,ENTRECTINIB
DRUG_NAME:Dinaciclib,biolink:ChemicalEntity,Dinaciclib
NCBIGene:10383,biolink:Gene,TUBB4B
DRUG_NAME:MILATAXEL,biolink:ChemicalEntity,MILATAXEL
NCBIGene:5465,biolink:Gene,PPARA
DRUG_NAME:TETRADECYLTHIOACETIC ACID,biolink:ChemicalEntity,TETRADECYLTHIOACETIC ACID
NCBIGene:2908,biolink:Gene,NR3C1
DRUG_NAME:DESOXIMETASONE,biolink:ChemicalEntity,DESOXIMETASONE
NCBIGene:1728,biolink:Gene,NQO1
DRUG_NAME:NSC-640556,biolink:ChemicalEntity,NSC-640556
DRUG_NAME:PREDNICARBATE,biolink:ChemicalEntity,PREDNICARBATE
NCBIGene:4286,biolink:Gene,MITF
DRUG_NAME:GNF-PF-2298,biolink:ChemicalEntity,GNF-PF-2298
DRUG_NAME:T091317,biolink:ChemicalEntity,T091317
NCBIGene:942,biolink:Gene,CD86
DRUG_NAME:DEXAMETHASONE,biolink:ChemicalEntity,DEXAMETHASONE
NCBIGene:3738,biolink:Gene,KCNA3
DRUG_NAME:AMIFAMPRIDINE,biolink:ChemicalEntity,AMIFAMPRIDINE
NCBIGene:216,biolink:Gene,ALDH1A1
DRUG_NAME:LEAD DIACETATE TRIHYDRATE,biolink:ChemicalEntity,LEAD DIACETATE TRIHYDRATE
NCBIGene:26013,biolink:Gene,L3MBTL1
DRUG_NAME:NSC-66209,biolink:ChemicalEntity,NSC-66209
NCBIGene:3785,biolink:Gene,KCNQ2
DRUG_NAME:GUANIDINE HYDROCHLORIDE,biolink:ChemicalEntity,GUANIDINE HYDROCHLORIDE
DRUG_NAME:Zoledronic acid,biolink:ChemicalEntity,Zoledronic acid
DRUG_NAME:CONGO RED,biolink:ChemicalEntity,CONGO RED
NCBIGene:54577,biolink:Gene,UGT1A7
DRUG_NAME:mycophenolate mofetil,biolink:ChemicalEntity,mycophenolate mofetil
DRUG_NAME:ZAMPANOLIDE,biolink:ChemicalEntity,ZAMPANOLIDE
DRUG_NAME:SODELGLITAZAR,biolink:ChemicalEntity,SODELGLITAZAR
DRUG_NAME:risperidone,biolink:ChemicalEntity,risperidone
NCBIGene:5702,biolink:Gene,PSMC3
DRUG_NAME:CARFILZOMIB,biolink:ChemicalEntity,CARFILZOMIB
NCBIGene:5148,biolink:Gene,PDE6G
DRUG_NAME:DIPYRIDAMOLE,biolink:ChemicalEntity,DIPYRIDAMOLE
