id,prefix,previous_name,label,label_ontology,obsolete_term,matched,current_category,suggested_category
EFO:0006890,EFO,EFO:0006890,fibrosis,efo,False,True,biolink:Disease,
EFO:1001461,EFO,EFO:1001461,endothelial dysfunction,efo,False,True,biolink:Disease,
EFO:0021901,EFO,EFO:0021901,cholesterol in large LDL measurement,efo,False,True,biolink:Disease,
EFO:0005140,EFO,EFO:0005140,obsolete_autoimmune disease,efo,True,True,biolink:Disease,
GO:0009410,GO,GO:0009410,response to xenobiotic stimulus,go,False,True,biolink:Disease,biolink:BiologicalProcessOrActivity
EFO:0022148,EFO,EFO:0022148,total lipids in small VLDL,efo,False,True,biolink:Disease,
EFO:0006335,EFO,EFO:0006335,systolic blood pressure,efo,False,True,biolink:Disease,
HP:0040187,HP,HP:0040187,Neonatal sepsis,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
OBA:1000840,OBA,OBA:1000840,alcohol consumption quality,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0001270,HP,HP:0001270,Motor delay,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0002015,HP,HP:0002015,Dysphagia,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:1001248,EFO,EFO:1001248,non-alcoholic fatty liver,efo,False,True,biolink:Disease,
EFO:0009765,EFO,EFO:0009765,alanine measurement,efo,False,True,biolink:Disease,
OBA:0003277,OBA,OBA:0003277,platelet volume,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0004995,EFO,EFO:0004995,lean body mass,efo,False,True,biolink:Disease,
EFO:0004530,EFO,EFO:0004530,triglyceride measurement,efo,False,True,biolink:Disease,
EFO:0020865,EFO,EFO:0020865,aortic measurement,efo,False,True,biolink:Disease,
HP:0001873,HP,HP:0001873,Thrombocytopenia,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0009085,EFO,EFO:0009085,arterial occlusive disease,efo,False,True,biolink:Disease,
EFO:0022237,EFO,EFO:0022237,cholesterol to total lipids in medium HDL percentage,efo,False,True,biolink:Disease,
EFO:0008572,EFO,EFO:0008572,malnutrition,efo,False,True,biolink:Disease,
OBA:2040561,OBA,OBA:2040561,"level of aldehyde dehydrogenase X, mitochondrial in blood serum",oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0010134,EFO,EFO:0010134,kidney transplant,efo,False,True,biolink:Disease,
EFO:0009130,EFO,EFO:0009130,clostridium difficile infection,efo,False,True,biolink:Disease,
OBA:2042538,OBA,OBA:2042538,level of protein NDRG4 in blood serum,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0022317,EFO,EFO:0022317,triglycerides in HDL measurement,efo,False,True,biolink:Disease,
